course_name	course_title	course_description	course_subject	course_alternative_names
Xart 98	Directed Group Study	This is a student-initiated course to be offered for academic credit. The subject matter will vary from semester to semester and will be taught by the student facilitator under the supervision of the faculty sponsor. Topics to be related to art practice. 	FPF-Art Practice	FPF-Art Practice 98 XART98
Xanthro 2ac	Introduction to Archaeology	Prehistory and cultural growth. Introduction to the methods, goals, and theoretical concepts of archaeology with attention to the empact archaeology has had on the construction of the histories of diverse communities - Native Americans, Hispanics, and Euro-Americans. It fulfills the requirements for 2. 	FPF-Anthropology	FPF-Anthropology 2AC XANTHRO2AC
Xstat 2	Introduction to Statistics	Population and variables. Standard measures of location, spread and association. Normal approximation. Regression. Probability and sampling. Binomial distribution. Interval estimation. Some standard significance tests. 	FPF-Statistics	FPF-Statistics 2 XSTAT2
Xmath 1b	Calculus	Continuation of 1A. Techniques of integration; applications of integration. Infinite sequences and series. First-order ordinary differential equations. Second-order ordinary differential equations; oscillation and damping; series solutions of ordinary differential equations. 	FPF-Mathematics	FPF-Mathematics 1B XMATH1B
Xphilos 3	The Nature of Mind	Introduction to the philosophy of mind. Topics to be considered may include the relation between mind and body; the structure of action; the nature of desires and beliefs; the role of the unconscious. 	FPF-Philosophy	FPF-Philosophy 3 XPHILOS3
Xfilm 50	Introduction to Film for Nonmajors	An introduction to film art and film technique for students who are interested in exploring the history and aesthetics of cinema but do not intend to major in film. The course traces the development of world cinema from the first films of the 1890s to the 1970s, drawing on examples from American, European, Asian, and Third World cinema. 	FPF-Film	FPF-Film 50 XFILM50
Xmcellb 32	Introduction to Human Physiology	A comprehensive introduction to human cell biology. The course will concentrate on basic mechanisms underlying human life processes, including cells and membranes; nerve and muscle function; cardiovascular, respiratory, renal, and gastrointestinal physiology; metabolism, endocrinology, and reproduction. 	FPF-Molecular & Cell Bio	FPF-Molecular & Cell Bio 32 XMCELLB32
Xespm 50ac	Introduction to Culture and Natural Resource Management	An introduction to how culture affects the way we use and manage fire, wildland and urban forests, rangelands, parks and preserves, and croplands in America. The basic concepts and tools for evaluating the role of culture in resource use and management are introduced and used to examine the experience of American cultural groups in the development and management of western natural resources. 	FPF-Env Sci, Pol, & Mgmt	FPF-Env Sci, Pol, & Mgmt 50AC XESPM50AC
Xenglis r1a	Reading and Composition	Training in writing expository prose.  Instruction in expository writing in conjunction with reading literature.	FPF-English	FPF-English R1A XENGLISR1A
Xenglis r1b	Reading and Composition	Training in writing expository prose.  Further instruction in expository writing in conjunction with reading literature.	FPF-English	FPF-English R1B XENGLISR1B
Xethstd 21ac	A Comparative Survey of Racial and Ethnic Groups in the U.S	This survey course will examine the historical experiences of European immigrants, African Americans, and Latinos, emphasizing the themes of migration and economic change since the late 19th century. Though the class will focus on the three groups, the course will also address salient features of the experiences of Asian Americans, Native Americans, and recently arrived immigrants in light of the themes of the course. Intragroup differences such as class and gender will be discussed. 	FPF-Ethnic Studies	FPF-Ethnic Studies 21AC XETHSTD21AC
Xpsych 1	General Psychology	Introduction to the principal areas, problems, and concepts of psychology. This course is required for the major; students not considering a psychology major are directed to 2. 	FPF-Psychology	FPF-Psychology 1 XPSYCH1
Xmath 16a	Analytic Geometry and Calculus	This sequence is intended for majors in the life and social sciences. Calculus of one variable; derivatives, definite integrals and applications, maxima and minima, and applications of the exponential and logarithmic functions. 	FPF-Mathematics	FPF-Mathematics 16A XMATH16A
Xfilm r1a	The Craft of Writing - Film Focus	Rhetorical approach to reading and writing argumentative discourse with a film focus. Close reading of selected texts; written themes developed from class discussion and analysis of rhetorical strategies. Satisfies the first half of the Reading and Composition requirement. 	FPF-Film	FPF-Film R1A XFILMR1A
Xl&s 1	Exploring the Liberal Arts	This is a course for entering students, particularly those who are undecided about the major they would like to pursue. It provides an introduction to the intellectual landscape of the College of Letters and Science, revealing the underlying assumptions, goals, and structure of a liberal arts education. The ultimate goal of the course is to transform the students into informed participants in their own educational experiences, so that they can make the most of their years at Berkeley.	FPF-Letters & Science	FPF-Letters & Science 1 XL&S1
Xhistar 11	Introduction to Western Art: Renaissance to the Present	An introduction to the historical circumstances and visual character of Western art from the Renaissance to the present. Not a chronological survey, but an exploration of topics and themes central to this period. For example: What tasks did painting and sculpture perform in the past? For whom, at whose expense? How do the rise of landscape painting, the cult of the artist, and the new emphasis on the nude relate to the emergence of modern society? Do stylistic labels like Classicism, Realism, Impressionism, and Modernism help us answer such questions? This course is recommended for potential majors and for students in other disciplines, both humanities and sciences. 	FPF-History of Art	FPF-History of Art 11 XHISTAR11
Xhistor 7b	The United States from Civil War to Present	What does it mean to be American? Whatever your answer is to this question, chances are it is deeply connected to the themes and events we will discuss in this class. Here we will track America's rise to global power, the fate of freedom in a post-Emancipation political setting, and the changing boundaries of nation, citizenship, and community. We will use landmark events to sharpen our themes, but we will also take care to analyze the equally important (and shifting) patterns of where and how Americans lived, worked, and played. 	FPF-History	FPF-History 7B XHISTOR7B
Xgws 10	Introduction to Gender and Women's Studies	Introduction to questions and concepts in gender and women's studies. Critical study of the formation of gender and its intersections with other relations of power, such as sexuality, racialization, class, religion, and age. Questions will be addressed within the context of a transnational world. Emphasis of the course will change depending on the instructor. 	FPF-Gender & Womens Stds	FPF-Gender & Womens Stds 10 XGWS10
Xastron 10	Introduction to General Astronomy	A description of modern astronomy with emphasis on the structure and evolution of stars, galaxies, and the Universe. Additional topics optionally discussed include quasars, pulsars, black holes, and extraterrestrial communication, etc. Individual instructor's synopses available from the department. 	FPF-Astronomy	FPF-Astronomy 10 XASTRON10
Xanthro 1	Introduction to Biological Anthropology	An introduction to human evolution. Physical and behavioral adaptations of humans and their prehistoric and living relatives. Issues in evolutionary theory, molecular evolution, primate behavior, interpretation of fossils. Prehistoric activities, racial differences, genetic components of behavior are defined and evaluated. 	FPF-Anthropology	FPF-Anthropology 1 XANTHRO1
Xsociol 3ac	Principles of Sociology: American Cultures	Comparing the experience of three out of five ethnic groups (e.g. African Americans, Asian Americans, Chicano/Latino, European Americans, and Native Americans) we shall examine historically how each people entered American society and built communities and transformed their cultures in the process. Students will be introduced to the sociological perspective, characteristic methods of research, and such key concepts as culture, community, class, race, social change, and social movements. 	FPF-Sociology	FPF-Sociology 3AC XSOCIOL3AC
Xmath 1a	Calculus	This sequence is intended for majors in engineering and the physical sciences. An introduction to differential and integral calculus of functions of one variable, with applications and an introduction to transcendental functions. 	FPF-Mathematics	FPF-Mathematics 1A XMATH1A
