ACADEMIC_DEPARTMENT_NAME	ACADEMIC_DIVISION_NAME	MAJOR_NAME	COLLEGE_NAME
African American Studies	L&S Social Sciences Division	Afr Amer Stds-Humanities	Clg of Letters & Science
African American Studies	L&S Social Sciences Division	Afr Amer Stds-Social Sci	Clg of Letters & Science
African American Studies	L&S Social Sciences Division	African American Studies	Clg of Letters & Science
Ag & Env Chem Grad Grp	Clg of Natural Resources	Ag & Environmental Chem	Clg of Natural Resources
Ag & Resource Econ & Pol	Clg of Natural Resources	Ag & Resource Economics	Clg of Natural Resources
Ag & Resource Econ & Pol	Clg of Natural Resources	Environ Econ & Policy	Clg of Natural Resources
Ag & Resource Econ & Pol	Clg of Natural Resources	Pol Econ of Nat Resources	Clg of Natural Resources
Anc Hist Med Arc Grad Grp	L&S Arts & Humanities Division	Anc Hist & Medit Archae	Clg of Letters & Science
Anthropology	L&S Social Sciences Division	Anthropology	Clg of Letters & Science
Anthropology	L&S Social Sciences Division	Medical Anthropology	Clg of Letters & Science
Applied Sci & Tech Grad Grp	Clg of Engineering	Applied Science & Tech	Clg of Engineering
Architecture	Clg of Environmental Design	Architecture	Clg of Environmental Design
Art Practice	L&S Arts & Humanities Division	Art	Clg of Letters & Science
Asian Studies Grad Grp	L&S Social Sciences Division	Asian Studies	Clg of Letters & Science
Astronomy	L&S Math & Phys Sciences Div	Astrophysics	Clg of Letters & Science
Bioengineering	Clg of Engineering	Bioengineering	Clg of Engineering
Bioengineering	Clg of Engineering	Translational Medicine	Clg of Engineering
Bioengineering-UCSF Grad Grp	Clg of Engineering	Bioengineering (UCSF)	Clg of Engineering
Bioengineering-UCSF Grad Grp	Clg of Engineering	Translational Medicine (UCSF)	Clg of Engineering
Biophysics Grad Grp	L&S Biological Sciences Div	Biophysics	Clg of Letters & Science
Biostatistics Grad Grp	School of Public Health	Biostatistics	School of Public Health
Buddhist Studies Grad Grp	L&S Arts & Humanities Division	Buddhist Studies	Clg of Letters & Science
Business	Haas School of Business	Berkeley-Columbia Exec MBA	Haas School of Business
Business	Haas School of Business	Berkeley MBA for Executives	Haas School of Business
Business	Haas School of Business	Business Administration	Haas School of Business
Business	Haas School of Business	Evening & Weekend MBA	Haas School of Business
Business	Haas School of Business	Financial Engineering	Haas School of Business
Chem & Biomolecular Eng	Clg of Chemistry	Chem Eng/MSE Joint Major	Clg of Chemistry
Chem & Biomolecular Eng	Clg of Chemistry	Chem Eng/NE Joint Major	Clg of Chemistry
Chem & Biomolecular Eng	Clg of Chemistry	Chemical Engineering	Clg of Chemistry
Chemistry	Clg of Chemistry	Chemical Biology	Clg of Chemistry
Chemistry	Clg of Chemistry	Chemistry	Clg of Chemistry
City & Regional Planning	Clg of Environmental Design	City & Regional Planning	Clg of Environmental Design
City & Regional Planning	Clg of Environmental Design	Urban Studies	Clg of Environmental Design
Civil & Environmental Eng	Clg of Engineering	Civil Engineering	Clg of Engineering
Civil & Environmental Eng	Clg of Engineering	Civil & Environmental Eng	Clg of Engineering
Classics	L&S Arts & Humanities Division	Classical Archaeology	Clg of Letters & Science
Classics	L&S Arts & Humanities Division	Classical Civilizations	Clg of Letters & Science
Classics	L&S Arts & Humanities Division	Classical Languages	Clg of Letters & Science
Classics	L&S Arts & Humanities Division	Classics	Clg of Letters & Science
Classics	L&S Arts & Humanities Division	Greek	Clg of Letters & Science
Classics	L&S Arts & Humanities Division	Latin	Clg of Letters & Science
Comparative Biochem Grad Grp	Clg of Natural Resources	Comparative Biochemistry	Clg of Natural Resources
Comparative Literature	L&S Arts & Humanities Division	Comparative Literature	Clg of Letters & Science
Computational Biology Grad Grp	L&S Biological Sciences Div	Computational Biology	Clg of Letters & Science
Demography	L&S Social Sciences Division	Demography	Clg of Letters & Science
Development Practice Grad Grp	Clg of Natural Resources	Development Practice	Clg of Natural Resources
Earth & Planetary Science	L&S Math & Phys Sciences Div	Atmospheric Science	Clg of Letters & Science
Earth & Planetary Science	L&S Math & Phys Sciences Div	Earth & Planetary Science	Clg of Letters & Science
Earth & Planetary Science	L&S Math & Phys Sciences Div	Environmental Earth Science	Clg of Letters & Science
Earth & Planetary Science	L&S Math & Phys Sciences Div	Geology	Clg of Letters & Science
Earth & Planetary Science	L&S Math & Phys Sciences Div	Geophysics	Clg of Letters & Science
Earth & Planetary Science	L&S Math & Phys Sciences Div	Marine Science	Clg of Letters & Science
Earth & Planetary Science	L&S Math & Phys Sciences Div	Planetary Science	Clg of Letters & Science
East Asian Lang & Culture	L&S Arts & Humanities Division	Chinese Language	Clg of Letters & Science
East Asian Lang & Culture	L&S Arts & Humanities Division	E Asian Rel, Thought, & Cul	Clg of Letters & Science
East Asian Lang & Culture	L&S Arts & Humanities Division	Japanese Language	Clg of Letters & Science
Economics	L&S Social Sciences Division	Economics	Clg of Letters & Science
Education	Grad School of Education	Educational Leadership	Grad School of Education
Education	Grad School of Education	Educational Leadership Jnt Pgm	Grad School of Education
Education	Grad School of Education	Education Credential	Grad School of Education
Education	Grad School of Education	Education	Grad School of Education
Education	Grad School of Education	Special Education	Grad School of Education
Education	Grad School of Education	Teacher Education	Grad School of Education
Electrical Eng & Computer Sci	Clg of Engineering	Computer Science	Clg of Engineering
Electrical Eng & Computer Sci	Clg of Engineering	Electrical Eng & Comp Sci	Clg of Engineering
Electrical Eng & Computer Sci	Clg of Engineering	El Eng & Comp Sci PT MEng	Clg of Engineering
Electrical Eng & Computer Sci	Clg of Engineering	Master of Adv Std - IC	Clg of Engineering
Endocrinology Grad Grp	L&S Biological Sciences Div	Endocrinology	Clg of Letters & Science
Energy & Resources Grad Grp	Clg of Natural Resources	Energy & Resources	Clg of Natural Resources
Engineering Joint Programs	Clg of Engineering	BioE/MSE Joint Major	Clg of Engineering
Engineering Joint Programs	Clg of Engineering	EECS/MSE Joint Major	Clg of Engineering
Engineering Joint Programs	Clg of Engineering	EECS/NE Joint Major	Clg of Engineering
Engineering Joint Programs	Clg of Engineering	ME/NE Joint Major	Clg of Engineering
Engineering Joint Programs	Clg of Engineering	MSE/ME Joint Major	Clg of Engineering
Engineering Joint Programs	Clg of Engineering	MSE/NE Joint Major	Clg of Engineering
Engineering Science	Clg of Engineering	Computational Eng Science	Clg of Engineering
Engineering Science	Clg of Engineering	Energy Engineering	Clg of Engineering
Engineering Science	Clg of Engineering	Engineering Physics	Clg of Engineering
Engineering Science	Clg of Engineering	Engineering Undeclared	Clg of Engineering
Engineering Science	Clg of Engineering	Eng Math & Statistics	Clg of Engineering
Engineering Science	Clg of Engineering	Environmental Eng Science	Clg of Engineering
Engineering Science	Clg of Engineering	Manufacturing Engineering	Clg of Engineering
English	L&S Arts & Humanities Division	English	Clg of Letters & Science
Environmental Health Sci GG	School of Public Health	Environ Health Sciences	School of Public Health
Env Sci, Policy, & Mgmt	Clg of Natural Resources	Conserv & Resource Stds	Clg of Natural Resources
Env Sci, Policy, & Mgmt	Clg of Natural Resources	Eco Mgmt & For-Forestry	Clg of Natural Resources
Env Sci, Policy, & Mgmt	Clg of Natural Resources	Eco Mgmt & For-Nat Res Mgmt	Clg of Natural Resources
Env Sci, Policy, & Mgmt	Clg of Natural Resources	Environmental Sciences	Clg of Natural Resources
Env Sci, Policy, & Mgmt	Clg of Natural Resources	Env Sci, Policy, & Mgmt	Clg of Natural Resources
Env Sci, Policy, & Mgmt	Clg of Natural Resources	Forestry	Clg of Natural Resources
Env Sci, Policy, & Mgmt	Clg of Natural Resources	Forestry & Natural Resources	Clg of Natural Resources
Env Sci, Policy, & Mgmt	Clg of Natural Resources	Molecular Environ Biology	Clg of Natural Resources
Env Sci, Policy, & Mgmt	Clg of Natural Resources	Resource Management	Clg of Natural Resources
Env Sci, Policy, & Mgmt	Clg of Natural Resources	Society and Environment	Clg of Natural Resources
Epidemiology Grad Grp	School of Public Health	Epidemiology	School of Public Health
Ethnic Studies	L&S Social Sciences Division	Asian Am & Asian Diasp St	Clg of Letters & Science
Ethnic Studies	L&S Social Sciences Division	Asian American Studies	Clg of Letters & Science
Ethnic Studies	L&S Social Sciences Division	Chicano Studies	Clg of Letters & Science
Ethnic Studies	L&S Social Sciences Division	Ethnic Studies	Clg of Letters & Science
Ethnic Studies	L&S Social Sciences Division	Native American Studies	Clg of Letters & Science
Film and Media	L&S Arts & Humanities Division	Film and Media	Clg of Letters & Science
Film and Media	L&S Arts & Humanities Division	Film	Clg of Letters & Science
Folklore Grad Grp	L&S Social Sciences Division	Folklore	Clg of Letters & Science
FPF-General	FPF-Undergraduate Div	UCB Ext - FPF Undeclared	UCB Extension
French	L&S Arts & Humanities Division	French	Clg of Letters & Science
